epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,594.437,0.96869,2.63583,1.08178,0.98691,0.24095,0.6489,0.49319,0.83807,2.66009,0.96659,0.000467346,0.000467346,0.000467346
2,658.686,0.97194,1.6854,1.08426,0.71749,0.63833,0.71669,0.52372,0.94409,1.86749,1.11879,0.000924994,0.000924994,0.000924994
3,718.745,0.99812,1.5059,1.10564,0.64186,0.62177,0.6486,0.49238,0.87127,2.12048,1.07194,0.00136378,0.00136378,0.00136378
4,777.438,0.96709,1.33211,1.1071,0.83324,0.73005,0.7868,0.57498,0.9648,1.41315,1.15994,0.00134412,0.00134412,0.00134412
5,836.652,0.95906,1.23763,1.0912,0.86675,0.67584,0.80779,0.63701,0.85026,1.41138,1.05972,0.00131582,0.00131582,0.00131582
6,896.598,0.92035,1.11623,1.07924,0.9334,0.773,0.85573,0.65364,0.86969,0.94837,1.02523,0.00128753,0.00128753,0.00128753
7,956.759,0.91681,1.06871,1.07465,0.90595,0.75568,0.85322,0.69762,0.77275,0.93333,0.96783,0.00125923,0.00125923,0.00125923
8,1016.37,0.89102,0.96967,1.05365,0.90211,0.83565,0.88971,0.71743,0.74967,0.7776,0.97652,0.00123094,0.00123094,0.00123094
9,1075.15,0.83473,0.88068,1.02783,0.92842,0.80143,0.87137,0.71063,0.7404,0.81435,0.9915,0.00120265,0.00120265,0.00120265
10,1134.41,0.84911,0.88308,1.05574,0.90602,0.8245,0.8659,0.69047,0.77474,0.82054,1.01167,0.00117435,0.00117435,0.00117435
11,1193.45,0.83778,0.8475,1.03203,0.95358,0.82048,0.88375,0.72229,0.75377,0.74622,0.98449,0.00114606,0.00114606,0.00114606
12,1253.25,0.81689,0.78885,1.02343,0.95546,0.8351,0.89112,0.73073,0.70979,0.68286,0.96531,0.00111776,0.00111776,0.00111776
13,1313.45,0.77488,0.73597,1.00361,0.97681,0.85468,0.90678,0.76693,0.65082,0.60725,0.94206,0.00108947,0.00108947,0.00108947
14,1372.02,0.75361,0.72414,0.99613,0.93678,0.87094,0.91721,0.77756,0.61967,0.59029,0.93045,0.00106118,0.00106118,0.00106118
15,1430.69,0.75242,0.72295,0.99166,0.94674,0.84337,0.89465,0.75303,0.64125,0.64421,0.93363,0.00103288,0.00103288,0.00103288
16,1488.82,0.71871,0.68406,0.98123,0.92972,0.8628,0.90526,0.77222,0.63901,0.58619,0.93466,0.00100459,0.00100459,0.00100459
17,1547.71,0.74619,0.69124,0.98308,0.965,0.83378,0.90245,0.74219,0.666,0.62513,0.94735,0.000976293,0.000976293,0.000976293
